ExperimentID,Description,CopDensity,AgentDensity,Legitimacy,JailTerm,Vision,AvgActive,AvgJailed,AvgQuiet,MaxActive,MaxJailed,MaxQuiet,MinActive,MinJailed,MinQuiet,OutbreakCount,RebellionFrequency,AvgRebellionSize,MaxRebellionSize,TotalRebellionSteps,StabilityIndex,RecoveryTime
1,Local Legitimacy - High Cop Activity,0.04,0.70,0.82,30,7,64.95,330.90,724.15,655,595,1063,0,57,353,9,0.0900,64.95,655,56,132.5961,6.22
2,Local Legitimacy - Low Cop Activity,0.04,0.70,0.82,30,7,66.24,342.59,711.17,532,550,936,0,60,470,14,0.1400,66.24,532,59,107.9077,4.21
